titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo,ejes_semanticos,activadores,sin_eje,activadores_eje
¿Qué amenazas enfrentan las áreas protegidas recién creadas en el Perú?  | PODCAST,4 Oct 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/10/que-amenazas-enfrentan-las-areas-protegidas-recien-creadas-en-el-peru-podcast/,2025-10-04,2025,10,4,13,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['protegido', 'área'], 'crimen_ilegalidad': ['amenaza']}",False,amenaza
Emergencia en el Nanay: un sobrevuelo revela más de 45 dragas de mineros ilegales en el río amazónico y sectores de bosque peruano,2 Oct 2025,Enrique Vera,https://es.mongabay.com/2025/10/sobrevuelo-revela-dragas-mineros-ilegales-rio-nanay-peru/,2025-10-02,2025,10,2,23,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['bosque', 'río'], 'crimen_ilegalidad': ['ilegal']}",False,ilegal
Al borde del abismo: tres asombrosas aves sobreviven en medio de graves amenazas | Coyuntura ambiental,27 Sep 2025,Mongabay Latam,https://es.mongabay.com/2025/09/asombrosas-aves-sobreviven-amenazas/,2025-09-27,2025,9,27,16,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['ave'], 'crimen_ilegalidad': ['amenaza']}",False,amenaza
Perú: los ríos y bosques de Datem del Marañón están siendo invadidos por la minería ilegal,26 Sep 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/09/peru-rios-bosques-datem-maranon-invadidos-mineria-ilegal/,2025-09-26,2025,9,26,16,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['bosque', 'marañón', 'río'], 'crimen_ilegalidad': ['ilegal']}",False,ilegal
Investigación de Mongabay Latam destapa  tráfico ilegal de tiburones en puertos peruanos | Coyuntura ambiental,20 Sep 2025,Mongabay Latam,https://es.mongabay.com/2025/09/tiburones-peligro-fiscalizacion-deficiente-amenaza-supervivencia-peru/,2025-09-20,2025,9,20,15,['crimen_ilegalidad'],"{'crimen_ilegalidad': ['ilegal', 'tráfico']}",False,"ilegal, tráfico"
Perú: pueblo indígena shawi se opone a la construcción de una vía ante amenaza de invasión de migrantes,19 Sep 2025,Geraldine Santos,https://es.mongabay.com/2025/09/peru-pueblo-indigena-shawi-se-opone-carretera-amenaza-invasion-migrantes/,2025-09-19,2025,9,19,18,"['sociedad_comunidades', 'crimen_ilegalidad']","{'sociedad_comunidades': ['pueblo'], 'crimen_ilegalidad': ['amenaza']}",False,amenaza
Barcos ilegales arremeten en Perú: un nuevo intento por reabrir el proceso de formalización pesquera podría “blanquearlos”,18 Sep 2025,Michelle Carrere,https://es.mongabay.com/2025/09/barcos-ilegales-peru-intento-reabrir-formalizacion-pesquera/,2025-09-18,2025,9,18,17,"['economia_desarrollo', 'crimen_ilegalidad']","{'economia_desarrollo': ['pesquero'], 'crimen_ilegalidad': ['ilegal']}",False,ilegal
¿Cuál es el país con el mayor número de defensores ambientales asesinados en 2024? | PODCAST,17 Sep 2025,Mongabay Latam,https://es.mongabay.com/podcast/2025/09/pais-con-mayor-numero-de-defensores-ambientales-asesinados-2024-podcast/,2025-09-17,2025,9,17,16,['crimen_ilegalidad'],{'crimen_ilegalidad': ['asesinado']},False,asesinado
En 2024 hubo al menos 120 asesinatos y desapariciones de personas defensoras ambientales en Latinoamérica | INFORME,16 Sep 2025,Gonzalo Ortuño López,https://es.mongabay.com/2025/09/personas-defensoras-ambientales-latinoamerica-2024/,2025-09-16,2025,9,16,17,['crimen_ilegalidad'],{'crimen_ilegalidad': ['asesinato']},False,asesinato
Felinos en cautiverio: ¿qué pasa después del rescate del tráfico ilegal,10 Sep 2025,Mongabay Latam,https://es.mongabay.com/specials/2025/09/felinos-cautiverio-trafico-ilegal/,2025-09-10,2025,9,10,11,['crimen_ilegalidad'],"{'crimen_ilegalidad': ['ilegal', 'tráfico']}",False,"ilegal, tráfico"
